YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,UVA,Wind Energy,Solar Energy
2020,1,1,3.58,3.34,19.72,55.12,101.42,6.22,332.06,7.25,375.1902611,110.925
2020,1,2,3.74,3.11,20.04,49.5,101.62,2.6,208.38,7.15,156.9697036,109.395
2020,1,3,3.8,3.7,21.44,64.56,101.45,4.92,160.38,8.19,295.1288101,125.307
2020,1,4,3.58,2.85,21.25,61.94,101.11,5.23,259.25,6.54,312.8747004,100.062
2020,1,5,3.35,0.58,16.75,75.5,101.39,5.32,328.88,1.7,324.0940016,26.01
2020,1,6,4.22,3.94,16.9,62.88,101.79,6.11,332,8.78,373.4959595,134.334
2020,1,7,4.28,4.11,16.84,65.81,101.91,4.58,331.56,8.94,280.357198,136.782
2020,1,8,4.12,4.02,17.65,60.62,101.6,2.66,209.88,8.66,161.8800745,132.498
2020,1,9,3.74,2.44,18.93,66.12,101.2,4.12,181.62,6,248.6499417,91.8
2020,1,10,3.78,2.07,18.43,72.56,100.87,3.05,272.06,5.29,183.7877588,80.937
2020,1,11,3.77,3.62,15.8,59.06,101.24,8.82,312.12,7.94,538.2827667,121.482
2020,1,12,3.37,3.35,14.46,55.62,101.9,8.22,310.5,6.95,507.2878639,106.335
2020,1,13,4.5,4.22,14.4,45.19,101.86,4.65,295,9.12,286.9166199,139.536
2020,1,14,3.88,3.83,14.5,49.06,101.79,7.84,298.25,8.16,483.2470948,124.848
2020,1,15,4.11,3.97,16.44,63.19,102.18,4.65,338.25,8.71,285.7904705,133.263
2020,1,16,4.42,4.21,16.33,61.75,102.22,3.14,296.94,9.22,193.1343018,141.066
2020,1,17,4.19,4.08,17.62,60.94,101.94,2.85,125.31,8.66,174.041311,132.498
2020,1,18,4.43,4.19,18.43,66.94,101.43,6.69,165.88,9.34,405.3659489,142.902
2020,1,19,4.1,3.32,18.3,56.75,101.4,3.52,230.12,7.72,213.3187411,118.116
2020,1,20,4.04,4.02,18.25,69.25,101.75,6.33,344.38,8.69,385.0002696,132.957
2020,1,21,4.31,4.18,17.61,62.94,101.6,3.76,226.31,9.02,228.8544417,138.006
2020,1,22,4.14,2.64,18.87,63.62,101.35,4.8,190.94,6.45,290.1782431,98.685
2020,1,23,3.41,1.19,14.69,59.75,101.8,6.8,331.81,3.01,418.9073668,46.053
2020,1,24,4.79,4.5,14.37,54.81,101.88,4.05,282.81,9.88,249.9702663,151.164
2020,1,25,4.5,4.32,15.11,46.69,101.85,5.37,230.56,9.39,330.4938557,143.667
2020,1,26,3.63,3.37,12.63,59.94,102.15,8.75,311.94,7.04,544.7873883,107.712
2020,1,27,4.04,3.92,13.54,62.06,102.23,7.45,320.5,8.41,462.737336,128.673
2020,1,28,4.72,4.59,14.29,66.44,102.01,5,328.44,9.86,309.085051,150.858
2020,1,29,4.83,4.1,15.05,57.94,101.74,3.62,206.81,9.16,222.5967302,140.148
2020,1,30,4.56,4.5,15.12,50.81,101.77,4.59,292.06,9.39,282.2574834,143.667
2020,1,31,4.72,4.58,15.9,62.31,101.66,2.76,239.94,9.72,169.0825025,148.716
2020,2,1,4.24,3.31,17.45,63.44,101.46,4.4,211.81,7.45,267.58661,113.985
2020,2,2,4.67,4.64,16.27,56.12,101.95,5.6,311,9.87,343.6047596,151.011
2020,2,3,4.99,4.63,15.28,60.19,102.12,4.42,326.31,10.43,272.5869741,159.579
2020,2,4,4.91,4.37,15.42,58.06,101.86,4.04,257.75,9.84,248.3969796,150.552
2020,2,5,4.7,4.3,17.68,56.81,101.79,1.84,138.75,9.51,112.1750282,145.503
2020,2,6,4.56,4.4,19.44,54.62,101.79,1.56,159.94,9.48,94.53283598,145.044
2020,2,7,4.54,4.36,20.62,49.5,101.54,4.64,161.06,9.62,279.3573804,147.186
2020,2,8,4.67,4.33,21.58,51.69,101.36,5.28,195.38,9.8,316.2923103,149.94
2020,2,9,4.45,2.98,19.72,59.81,101.57,7.41,263.44,7.3,447.6321039,111.69
2020,2,10,4.2,3.98,17.42,57.19,101.64,7.65,335.31,8.63,466.1093033,132.039
2020,2,11,3.71,3.72,14.05,48.88,101.97,9.46,334,7.36,585.0481,112.608
2020,2,12,4.69,4.21,10.38,50.31,102.62,9.05,325.81,9.11,570.5504139,139.383
2020,2,13,5.06,4.94,13.23,60.38,102.53,6.34,328.31,10.74,395.3757089,164.322
2020,2,14,5.16,4.75,15.29,60.81,102.15,4.12,326.5,10.47,254.1514274,160.191
2020,2,15,5.2,4.94,16.77,54.44,101.86,4.25,297.56,10.67,260.091931,163.251
2020,2,16,5.17,4.93,18.52,57.25,101.64,2.65,200.38,10.51,160.8537617,160.803
2020,2,17,5.2,3.84,19.45,55,101.44,5.09,155.94,8.98,307.3726025,137.394
2020,2,18,4.97,3.66,20.49,65.75,101.54,3.6,138.75,8.41,216.8387513,128.673
2020,2,19,5.32,4.95,21.24,57,101.14,5.15,145.5,11.16,308.1907345,170.748
2020,2,20,4.76,2.48,20.86,53.56,101.01,5.12,244.94,6.2,306.3971231,94.86
2020,2,21,5.19,5.05,18.45,66,101.47,4.69,238,11.09,284.2728847,169.677
2020,2,22,4.94,4.86,18.93,66.94,101.71,2.41,154.12,10.64,146.1811352,162.792
2020,2,23,5.11,4.85,20.48,70.31,101.64,2.52,102.5,10.91,151.9417854,166.923
2020,2,24,4.9,4.33,22.83,68.88,101.28,4.73,134.19,9.82,281.9258644,150.246
2020,2,25,5.03,4.34,24.49,59.88,100.77,6.98,148.19,9.66,411.6307766,147.798
2020,2,26,3.88,3.54,20.55,52.69,101.39,7.21,256.44,6.86,433.5497043,104.958
2020,2,27,5.61,5.28,17.71,57.38,101.74,6.19,326.38,11.8,377.1471547,180.54
2020,2,28,6.05,5.7,18.15,64.81,101.51,5.12,276.38,12.93,310.7783505,197.829
2020,2,29,5.89,5.5,19.04,58.56,101.14,2.92,212,12.31,176.0568412,188.343
2020,3,1,5.23,4.52,21.18,57.06,100.93,4.88,158.5,10.14,291.486213,155.142
2020,3,2,5.2,4.99,19.52,57.56,101.5,7.18,341.69,10.88,433.735263,166.464
2020,3,3,5.78,5.61,18.3,58.81,101.75,6.62,340.62,12.36,402.5694375,189.108
2020,3,4,5.98,5.75,17.81,57.88,101.58,6.04,328.25,12.61,367.3028619,192.933
2020,3,5,5.7,5.48,18.62,60.06,101.48,5.04,279,11.68,305.3393753,178.704
2020,3,6,6.16,5.7,19.34,53.38,101.32,2.83,204.94,12.55,170.7587816,192.015
2020,3,7,5.85,5.55,21.03,54.44,101.1,4.82,161.19,12.19,288.5343367,186.507
2020,3,8,5.28,4.78,21.26,46,101.18,4.67,303.38,10.46,279.5576953,160.038
2020,3,9,5.43,5.26,20.01,55.12,101.3,6.1,328.31,11.67,367.1529487,178.551
2020,3,10,5.95,5.7,20.17,49.75,101.52,3.36,170.31,12.78,202.5637196,195.534
2020,3,11,6.33,6.02,20.94,54.69,101.57,1.95,154.31,13.43,117.3092504,205.479
2020,3,12,6.28,5.53,20.99,55.94,101.48,2.62,151.06,12.23,157.4490755,187.119
2020,3,13,6.46,6.04,21.74,57.5,101.36,4.67,142.38,13.62,279.5991779,208.386
2020,3,14,5.41,2.25,22.19,66.19,101.12,4.23,181.12,5.8,252.2711639,88.74
2020,3,15,5.55,4.61,23.79,52.69,100.85,5.1,137.38,10.46,301.7100853,160.038
2020,3,16,5.75,5.47,22.42,71.69,101.17,3.74,229.5,12.52,222.9848995,191.556
2020,3,17,6.16,5.93,23.48,63,101.27,3.33,86.12,13.56,198.0260956,207.468
2020,3,18,5.01,3.96,24.62,65.75,100.89,7.18,134.5,8.88,423.7445041,135.864
2020,3,19,5.81,5.65,23.53,68.19,100.93,5.41,289.06,13.24,320.5839098,202.572
2020,3,20,6.07,5.22,22.87,55.75,100.93,3.68,48.19,12.25,218.5543681,187.425
2020,3,21,5.67,4.34,24.49,68.94,100.5,4.52,130.38,10.53,265.8432599,161.109
2020,3,22,5.79,4.53,22.1,61.56,100.71,6.44,257.44,10.56,382.6317554,161.568
2020,3,23,6.21,6.04,19.05,48.12,101.28,6.32,240.62,13.44,381.5689373,205.632
2020,3,24,6.79,5.8,20.47,48.38,101.2,3.55,230,13.7,213.1256321,209.61
2020,3,25,6.35,6.04,21.92,47.06,101.02,2.68,118.56,13.7,159.8194216,209.61
2020,3,26,6.28,3.16,21.62,65.19,100.98,6.04,138.56,8.16,360.4138541,124.848
2020,3,27,5.65,4.79,23.81,63.06,100.93,8.09,126.88,10.73,478.9424081,164.169
2020,3,28,5.43,2.54,23.55,63.88,100.68,7.52,130.12,6.14,444.4838177,93.942
2020,3,29,5.16,4.92,23.56,66.06,100.37,8.04,286.06,10.34,473.7402037,158.202
2020,3,30,6.5,6.36,21.99,54.94,101.09,6.02,254.88,14.53,359.1609139,222.309
2020,3,31,6.81,6.44,22.36,48.25,101.43,3.88,178.94,14.98,231.9735252,229.194
2020,4,1,6.62,6.28,25.22,39.31,101.21,2.88,144.25,14.52,170.166165,222.156
2020,4,2,6.13,5.75,25.93,49.56,100.81,6.13,143.69,12.99,359.9060693,198.747
2020,4,3,6.1,4.15,24.65,59.12,100.95,4.18,62.56,9.91,246.8143264,151.623
2020,4,4,6.37,5.8,24.19,57.62,101.3,5.87,181.56,13.44,348.342659,205.632
2020,4,5,6.57,6.42,24.62,50.75,101.49,5.52,350.56,14.64,327.7131304,223.992
2020,4,6,6.85,6.14,25.09,44.12,101.31,3.93,237.94,14.38,232.5366589,220.014
2020,4,7,6.71,4.83,27.51,35.19,100.92,3.71,206.12,11.9,216.914184,182.07
2020,4,8,6.38,5.01,30.13,36.56,100.55,6.28,185,11.81,362.6689713,180.693
2020,4,9,6.36,5.56,31.22,29.75,100.44,6.21,196.88,12.9,356.9512549,197.37
2020,4,10,5.53,3.9,30.51,33.38,100.32,7.16,185.38,8.43,412.0267487,128.979
2020,4,11,6.29,3.56,26.1,63.19,100.6,4.66,175.12,8.75,272.8740216,133.875
2020,4,12,5.92,3.69,25.19,56.69,100.95,6.25,192.25,8.75,368.3725907,133.875
2020,4,13,5.84,2.18,23.19,58.75,101.12,5.74,18.88,5.62,341.1702313,85.986
2020,4,14,6.95,6.8,22.95,50.81,101.19,4.94,152.31,15.84,294.061786,242.352
