YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,RH2M,PS,WD10M,WS10M,UVA,Wind Energy,Solar Energy
2020,1,1,4.37,4.67,23.43,55.94,99.94,181.44,3.64,10.09,213.6541442,154.377
2020,1,2,4.57,4.64,24.26,61.31,99.95,165.06,2.91,10.69,170.3462877,163.557
2020,1,3,4.35,4.65,24.78,63.88,100.08,215.56,4.15,10.41,242.8251188,159.273
2020,1,4,3.69,4.55,22.98,56.69,100.09,342.94,7.04,8.88,414.4702804,135.864
2020,1,5,4.82,4.91,20.76,54,100.13,316.12,6.37,11.12,378.0086508,170.136
2020,1,6,5.24,5.2,20,40.81,100.11,177.44,4.59,11.59,273.0314663,177.327
2020,1,7,5.04,5.02,21.2,46.62,100.12,169,3.68,11.45,218.0304106,175.185
2020,1,8,4.04,4.96,21.05,57,100.11,211.94,4.66,9.7,276.2060345,148.41
2020,1,9,5.06,5.09,19.58,61.19,100.11,211.75,4.95,11.61,294.8681606,177.633
2020,1,10,5.03,5.11,18.62,56.5,100.12,275.25,4.99,11.63,298.2587575,177.939
2020,1,11,4.94,5.16,19.1,47.06,100.38,271.12,6.06,11.34,362.558214,173.502
2020,1,12,5.33,5.36,19.89,25.06,100.36,113.31,5.68,11.64,338.8398929,178.092
2020,1,13,5.29,5.25,20.97,27.62,100.21,205.06,3.17,11.76,188.1300713,179.928
2020,1,14,5.26,5.23,22.27,27.5,100.16,138.31,4.23,11.82,249.8085178,180.846
2020,1,15,5.26,5.23,23.61,28.31,100.06,139.06,4.91,11.7,288.3693386,179.01
2020,1,16,5.13,5.08,24.08,42.94,99.99,156,3.98,11.64,233.216596,178.092
2020,1,17,4.83,5.02,24.91,66.06,99.95,189.88,5,11.43,292.0529241,174.879
2020,1,18,4.2,4.9,23.66,64.56,100.08,317.38,4.55,10.03,267.234557,153.459
2020,1,19,4.96,5.15,22.21,56,100.22,214.69,5.68,11.66,335.7094047,178.398
2020,1,20,5.53,5.48,21.21,47.25,100.3,186.62,5.98,12.4,354.9243338,189.72
2020,1,21,5.4,5.39,20.65,58.5,100.15,337,6.16,12.38,365.7567313,189.414
2020,1,22,5.31,5.39,19.41,55.62,100.18,270.31,6.36,12.07,379.3461221,184.671
2020,1,23,5.66,5.63,18.12,39.75,100.31,219.5,5.5,12.56,329.9313752,192.168
2020,1,24,5.72,5.68,18.61,34.06,100.38,219.88,4.88,12.67,292.4514077,193.851
2020,1,25,5.57,5.53,18.52,50.94,100.61,190.81,5.56,12.66,334.06935,193.698
2020,1,26,5.7,5.71,20.88,25.81,100.44,132.06,5.41,12.66,321.9028178,193.698
2020,1,27,5.62,5.58,21.2,26.31,100.28,166.56,4.35,12.45,258.1380323,190.485
2020,1,28,5.24,5.26,23.19,42.44,100.06,169.56,3.73,12.34,219.377209,188.802
2020,1,29,5.06,5.18,23.46,52.38,100.14,250.75,4.23,11.73,248.7566037,179.469
2020,1,30,5.25,5.3,23.83,43.69,100.12,163.19,4.16,12.27,244.2864744,187.731
2020,1,31,4.15,5.04,23.97,55.75,99.98,271.12,3.94,9.96,230.9350863,152.388
2020,2,1,5.49,5.57,22.19,59.12,100.14,248.44,4.53,12.73,267.5444656,194.769
2020,2,2,5.47,5.58,22.55,47.75,100.15,174.06,3.91,12.34,230.6687911,188.802
2020,2,3,5.01,5.21,24.05,52.5,100.07,166.31,3.78,11.61,221.6967608,177.633
