YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,UVA,Wind Energy,Solar Energy
2020,1,1,4.17,3.79,16.4,38.44,94.55,3.37,63.38,8.25,191.6815524,126.225
2020,1,2,4.39,4.34,18.06,39.88,94.58,5.7,165.19,9.84,322.4633297,150.552
2020,1,3,4.43,4.43,20.79,33.75,94.54,6.73,194.38,9.96,377.0373944,152.388
2020,1,4,4.33,4.25,21.55,37.88,94.27,4.56,242.94,9.77,254.080109,149.481
2020,1,5,4.03,1.54,14.67,64.38,94.41,3.62,113.88,3.91,206.8321529,59.823
2020,1,6,4.79,4.83,11.15,49.44,94.9,3.26,124.38,10.51,189.5480871,160.803
2020,1,7,4.57,4.6,12.23,41.19,94.97,2.21,106.38,10.23,128.1054573,156.519
2020,1,8,4.33,4.09,14.87,37.38,94.54,4.68,169.81,9.19,267.5785267,140.607
2020,1,9,4.51,3.56,15.84,39.25,94.21,3.68,215.06,8.05,208.9654375,123.165
2020,1,10,4.85,4.88,12.98,47.31,94.06,3.51,210.12,10.74,200.9838444,164.322
2020,1,11,4.92,4.61,10.8,40.94,94.49,6.2,321.69,10.36,359.3752123,158.508
2020,1,12,4.85,4.8,9,44.5,95.12,4.84,333.62,10.39,284.216706,158.967
2020,1,13,5.03,5.08,11.2,27.88,94.92,2.28,277.19,10.99,132.5719966,168.147
2020,1,14,4.91,4.95,10.38,34.75,94.96,5.01,330.62,10.79,292.2751332,165.087
2020,1,15,4.98,4.9,8.66,41.31,95.29,3.46,164.94,10.62,203.7884091,162.486
2020,1,16,5.03,5.07,11.07,48.38,95.21,3.54,158.19,11.17,206.558773,170.901
2020,1,17,5,5.03,13.01,45.62,94.86,5.75,175.25,11.01,332.0125429,168.453
2020,1,18,4.9,4.95,16.07,27.88,94.47,4.71,206.56,11.38,267.9778842,174.114
2020,1,19,4.74,4.69,17.52,35,94.46,3.45,236,10.63,195.2896733,162.639
2020,1,20,4.85,4.88,14.26,50,94.87,3.44,58.06,10.72,197.7870812,164.016
2020,1,21,4.82,4.72,14.36,46.06,94.57,5.19,157.25,10.52,297.3584233,160.956
2020,1,22,4.8,4.79,15.63,38.62,94.32,7.03,238,10.41,399.9488553,159.273
2020,1,23,4.82,4.67,10.87,32.38,94.79,4.72,273.44,10.34,274.3898561,158.202
2020,1,24,5.12,5.12,10.65,36.56,94.84,2.92,123.56,11.26,169.9708549,172.278
2020,1,25,5.09,5.12,11.33,33.75,94.9,5.54,270.31,11.23,321.9116477,171.819
2020,1,26,5.28,5.33,7.69,43.69,95.35,5.95,331.31,11.46,351.8772198,175.338
2020,1,27,5.56,5.58,8.76,42.38,95.35,3.28,309.75,12.34,193.2397703,188.802
2020,1,28,5.56,5.58,10.95,27.62,95.05,1.95,212.5,12.13,113.6391436,185.589
2020,1,29,5.16,4.75,13.96,21.88,94.7,3.81,211.5,10.77,218.8966366,164.781
2020,1,30,4.97,4.78,13.33,28.62,94.94,4.11,271.44,10.31,237.2516243,157.743
2020,1,31,4.98,4.97,15.34,29.06,94.68,2.64,164.75,10.95,150.9189815,167.535
2020,2,1,4.96,4.33,16.08,37.94,94.55,4.16,167.44,10.05,236.8775919,153.765
2020,2,2,4.99,4.99,13.15,23.25,94.99,2.73,56.25,10.57,157.7726208,161.721
2020,2,3,5.39,5.38,12.51,28.31,95.15,2.28,43.5,12.1,132.2837997,185.13
2020,2,4,5.16,5.08,13.9,34.75,94.78,3.98,147.94,11.29,228.9046834,172.737
2020,2,5,4.97,3.82,16.22,44.81,94.73,3.84,176.5,8.71,218.9665171,133.263
2020,2,6,5.07,4.53,17.8,47.69,94.82,4.1,171.38,10.26,232.7436813,156.978
2020,2,7,5.3,5.34,20.24,29.19,94.63,5.05,189.31,12.17,283.71831,186.201
2020,2,8,5.43,5.36,22.52,27.81,94.53,4.88,183.44,12.73,271.7657181,194.769
2020,2,9,5.27,4.37,18.12,29.62,94.65,3.46,39.19,10.15,195.8454176,155.295
2020,2,10,5.06,4.13,14.07,36.62,94.65,3.37,39.38,9.23,193.4408957,141.219
2020,2,11,4.84,4.48,9.78,38.38,94.92,4.87,101.69,9.44,284.5903333,144.432
2020,2,12,5.96,5.99,6.95,20.88,95.48,4.37,101.12,13.2,259.4736085,201.96
2020,2,13,6.15,6.13,8.8,17,95.52,1.64,98.38,13.65,96.77841743,208.845
2020,2,14,6.2,6.22,12.92,16.69,95.19,2.95,161.19,13.88,170.9832154,212.364
2020,2,15,6.1,6.12,15.63,16.38,94.93,3.19,166.19,13.58,182.6583394,207.774
2020,2,16,5.86,5.8,16.99,15,94.64,5.59,168.88,13.21,317.6079656,202.113
2020,2,17,5.88,5.44,20.57,12.5,94.44,4.7,179.25,12.69,263.2284157,194.157
2020,2,18,5.67,4.75,20.73,15.62,94.55,5.77,163.19,10.92,323.3551396,167.076
2020,2,19,5.83,5.53,22.55,18.25,94.25,6.82,172.75,12.91,378.6403232,197.523
2020,2,20,5.46,4.5,19.19,29.25,94.3,6.49,275.44,10.07,364.6536794,154.071
2020,2,21,5.69,5.67,16.15,33.75,94.62,2.88,85.88,12.6,164.073881,192.78
2020,2,22,5.57,5.57,18.88,31.31,94.67,4.77,140.19,12.48,269.3492315,190.944
2020,2,23,5.47,5.17,20.94,35.81,94.66,4.31,144.94,11.46,241.6439722,175.338
2020,2,24,5.84,5.07,23.07,40.38,94.38,5.89,150.62,11.89,326.8837589,181.917
2020,2,25,6.04,4.96,24.93,24.62,94,6.94,220.81,11.57,381.2123305,177.021
2020,2,26,6.37,6.29,18.02,27.31,94.64,6.78,268,14.25,383.8576959,218.025
2020,2,27,6.23,6.2,16.12,34,94.91,3.74,243.44,13.89,213.7433605,212.517
2020,2,28,6.54,6.43,17.76,22.38,94.66,2.62,206.12,14.92,148.4983384,228.276
2020,2,29,5.89,5.87,20.33,20,94.23,4.27,173.94,13.21,238.8091753,202.113
2020,3,1,5.79,5.78,23.21,19.25,94.06,5.55,240.19,12.84,306.8250577,196.452
2020,3,2,5.93,5.89,17.57,26.25,94.67,5.04,111,12.5,285.8778167,191.25
2020,3,3,6.58,6.47,15.69,23.06,94.91,2.89,67.19,14.41,165.4112079,220.473
2020,3,4,6.62,6.51,17.37,22.81,94.77,2.69,202.25,15.01,152.8479359,229.653
2020,3,5,6.33,6.33,18.3,22,94.66,2.2,162.62,14.17,124.462229,216.801
2020,3,6,6.51,6.48,20.08,19.81,94.44,3.52,165.75,14.8,197.4707132,226.44
2020,3,7,6.53,6.55,22.01,18.5,94.24,5.19,211.75,14.9,288.6407117,227.97
2020,3,8,6.14,6.12,19.23,25.12,94.51,4.93,251.38,13.51,277.5808324,206.703
2020,3,9,6.59,6.5,17.73,35.94,94.6,4.3,198.06,14.56,243.5892866,222.768
2020,3,10,6.82,6.8,19.14,27.62,94.7,2.37,58.31,15.24,133.7509332,233.172
2020,3,11,6.96,6.92,19.44,23.25,94.7,3.2,140.25,15.77,180.4068118,241.281
2020,3,12,6.82,6.27,20.22,21.5,94.57,4.61,160.31,14.05,258.8517269,214.965
2020,3,13,6.68,5.3,21.47,13.75,94.36,6.26,159.62,12.26,349.2307635,187.578
2020,3,14,5.84,3.06,21.51,37,94.24,5.23,172.75,6.83,291.3588638,104.499
2020,3,15,6.45,6.44,21.73,42,94.1,4.12,212.44,14.41,229.0097511,220.473
2020,3,16,6.77,6.67,20.6,33.19,94.38,3.7,114.81,15.38,207.0695668,235.314
2020,3,17,6.33,6.33,22.07,33.44,94.35,4.8,115.44,14.36,267.2082231,219.708
2020,3,18,6.38,5.41,24.51,28.5,94.06,6.09,218.38,12.75,335.207898,195.075
2020,3,19,6.79,6.79,22.35,25.94,94.17,3.16,128.69,15.63,175.41011,239.139
2020,3,20,6.72,5.72,22.84,37.88,94.05,3.47,150.94,13.5,192.0541469,206.55
2020,3,21,7.02,6.97,23.77,13.19,93.79,3.56,257.44,16.05,195.8752371,245.565
2020,3,22,7.28,7.26,18.9,20.12,94.1,7.28,304.12,16.48,408.5791921,252.144
2020,3,23,7.46,7.25,16.65,19.81,94.48,4.14,296.38,16.31,235.1009033,249.543
2020,3,24,7.19,6.69,18.43,17.12,94.32,2.34,160.12,15.13,131.8482504,231.489
2020,3,25,6.93,6.46,21.89,15.94,94.01,3.27,186.25,14.65,181.4902752,224.145
2020,3,26,6.87,6.79,23.99,15.25,93.83,4.31,210.25,15.24,237.0665724,233.172
2020,3,27,7.21,6.18,25.32,17.75,93.9,4.84,183.94,14.79,265.2300465,226.287
2020,3,28,6.74,5.25,27.44,19.81,93.77,3.88,183.56,12.2,210.8305619,186.66
2020,3,29,6.83,6.81,23.99,31.81,93.81,6.39,256.06,15.45,351.3996529,236.385
2020,3,30,7,6.96,21.92,33.25,94.31,3.43,52.5,16.14,190.9586173,246.942
2020,3,31,7.01,6.84,22.1,22.88,94.59,3.53,94,15.68,196.9892278,239.904
2020,4,1,6.56,5.53,24.83,22.31,94.38,6.16,169.19,12.34,339.8490204,188.802
2020,4,2,6.94,6.7,26.81,17.88,94.07,5.09,235.62,15.41,278.0468854,235.773
2020,4,3,7.16,6.88,25.83,19.94,94.11,3.05,159.12,15.93,167.2268189,243.729
2020,4,4,7.05,6.86,24.3,29.25,94.48,5.04,53.06,15.9,278.8488777,243.27
2020,4,5,7.21,7.19,25.67,21.56,94.69,4.23,86.25,17.33,233.4787049,265.149
2020,4,6,7.03,6.69,26.78,23.31,94.58,3.12,153.19,16.01,171.3745981,244.953
2020,4,7,7.24,6.66,29.28,20.31,94.26,3.14,197.12,16.12,170.468707,246.636
2020,4,8,7.25,7.14,30.84,16.44,94.02,5.85,209.94,16.58,315.158677,253.674
2020,4,9,6.73,6.66,32.03,14.44,93.88,7.64,190.69,14.8,409.3764202,226.44
2020,4,10,7.24,6.83,32.2,17,93.76,5.34,239.12,16.23,285.6099837,248.319
2020,4,11,7.12,4.87,28.84,21.5,93.94,3.33,273.06,11.27,180.4324642,172.431
2020,4,12,7.26,4.8,28.27,31.31,94.04,3.89,175.38,11.68,211.3988446,178.704
2020,4,13,6.75,5.67,23.44,38.75,94.2,5.3,64.31,13.02,293.2126625,199.206
2020,4,14,7.34,6.98,22.79,35.88,94.3,5.81,90.56,16.88,322.4754139,258.264
2020,4,15,6.8,6.37,20.5,50.69,94.24,4.02,78.94,14.73,224.7210619,225.369
2020,4,16,7.59,7.08,21.84,51.88,94.25,2.34,120.62,16.91,130.2274017,258.723
2020,4,17,7.41,7.17,24.36,41.19,94.1,4.48,141.06,17.02,246.8189626,260.406
2020,4,18,7.02,6.07,26.4,45.5,93.92,6.15,184,14.29,335.8739555,218.637
2020,4,19,6.67,5.01,24.95,41.25,94.06,3.2,191.31,11.15,175.8755343,170.595
2020,4,20,6.75,3.76,22.05,67.69,94.23,4.45,149.75,8.91,247.4259817,136.323
2020,4,21,6.81,5.41,21.43,71.81,94.31,2.62,143.88,12.54,146.1060607,191.862
2020,4,22,7.61,7.32,25.16,48.38,94.16,4,242.44,17.27,219.9232183,264.231
2020,4,23,8.02,7.76,28.94,29.19,94.1,2.22,213.5,18.84,120.4532998,288.252
2020,4,24,7.86,7.17,30.05,26.31,93.98,2.94,231,16.91,158.7325625,258.723
2020,4,25,7.52,7.01,30.47,28.19,93.8,5.38,226.5,16.94,289.5124145,259.182
2020,4,26,7.6,7.46,28.87,26.38,93.82,5.9,258.5,17.58,319.2450633,268.974
2020,4,27,7.2,7.12,25.79,27.75,94.17,4.12,79.12,16.01,226.0675405,244.953
2020,4,28,7.43,7.32,26.63,28.44,94.09,5.23,139.5,17.22,285.9268602,263.466
