YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,UVA,Wind Energy,Solar Energy
2020,1,1,3.84,3.48,8.45,51.12,93.8,2.04,101.44,7.55,118.36214,115.515
2020,1,2,3.67,3.04,8.95,52.44,93.63,3.41,152.75,6.69,197.1418235,102.357
2020,1,3,4.05,4.05,9.34,52.88,93.76,2.54,216.69,8.89,146.845516,136.017
2020,1,4,4.1,3.74,7.22,56.94,93.7,3.69,272.94,8.2,214.8062278,125.46
2020,1,5,4.16,3.99,5.71,78.5,93.78,3.9,260.12,8.91,228.4552094,136.323
2020,1,6,4.22,4.17,7.08,57.88,93.98,3.91,168.81,8.99,228.4073233,137.547
2020,1,7,4.15,4.14,7.26,33.94,93.75,4.11,180.25,8.83,239.3492407,135.099
2020,1,8,4.18,3.97,6.48,57.19,93.55,5.61,274.62,8.7,326.915373,133.11
2020,1,9,4.18,4,5.77,58.38,93.54,4.1,258.44,8.83,239.5046882,135.099
2020,1,10,4.08,3.3,4.94,75.44,93.54,3.52,294,7.38,206.2372505,112.914
2020,1,11,4.07,3.36,4.51,68.31,94.07,5.16,322.5,7.38,304.5088923,112.914
2020,1,12,4.37,4.24,5.58,63.19,94.39,3.55,279.94,9.21,209.4030859,140.913
2020,1,13,4.21,4.15,6.95,61.38,94.14,4.1,289,9.04,240.0255066,138.312
2020,1,14,4.43,4.46,6.47,52.62,94.44,2.98,86.62,9.78,175.3139457,149.634
2020,1,15,4.34,4.28,5.97,35.56,94.42,3.5,122,9.36,206.2308051,143.208
2020,1,16,4.33,4.33,7.82,33.44,93.9,4.74,93.38,9.44,275.9284209,144.432
2020,1,17,4.05,3.46,11.05,46.5,93.36,4.76,253.19,7.77,272.3680586,118.881
2020,1,18,4.28,4.1,9.25,70.56,93.61,4.26,287.19,9.22,245.9685637,141.066
2020,1,19,4.34,3.7,8.48,73.81,93.88,3.1,250.31,8.29,179.9982624,126.837
2020,1,20,4.48,4.49,8.88,61.44,94.21,2.34,241.38,9.88,136.1538753,151.164
2020,1,21,4.49,3.29,6.43,69,93.79,4.3,287.31,7.51,251.2646218,114.903
2020,1,22,4.36,3.03,4.51,71.94,93.74,5.02,300.5,6.7,295.2077809,102.51
2020,1,23,4.66,4.61,4.3,69.5,94.08,4.05,269.06,10.12,239.2103993,154.836
2020,1,24,4.45,4.2,5.76,59.75,93.74,7.53,256.56,9.16,440.8271079,140.148
2020,1,25,4.5,4.03,3.44,64.31,94.42,6.06,235.44,8.65,360.3401036,132.345
2020,1,26,4.81,4.66,4.8,68.75,94.79,2.07,252.69,10.27,122.9641872,157.131
2020,1,27,4.78,4.65,6.15,49.94,94.54,2.41,202.5,10.12,142.0934824,154.836
2020,1,28,4.81,3.74,7.26,31,93.95,3.2,158.31,8.52,186.7521965,130.356
2020,1,29,4.66,4.67,8.44,53.88,93.89,5.48,299,10.25,318.269574,156.825
2020,1,30,4.91,4.97,8.58,63.94,94.18,2.59,248.38,11.08,150.8126628,169.524
2020,1,31,4.83,4.83,8.19,53.38,93.7,5.39,256.12,10.38,312.6866402,158.814
